# PLGA Optimization Results
# Drug: tretinoin
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 11:32:41
# Total formulations evaluated: 448
# Models trained on train set | Evaluated on test set during main.py
#
polymer_MW (kDa),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
100,3.0,0.05,276.2,69.4,6.6,44.77
50,3.0,0.05,276.2,69.4,6.6,44.77
10,3.0,0.05,276.2,69.4,6.6,44.77
30,3.0,0.05,276.2,69.4,6.6,44.77
20,3.0,0.05,276.2,69.4,6.6,44.77
75,3.0,0.05,276.2,69.4,6.6,44.77
30,4.0,0.05,277.3,69.4,7.1,44.55
10,4.0,0.05,277.3,69.4,7.1,44.55
100,4.0,0.05,277.3,69.4,7.1,44.55
50,4.0,0.05,277.3,69.4,7.1,44.55
150,4.0,0.05,277.3,69.4,7.1,44.55
75,4.0,0.05,277.3,69.4,7.1,44.55
20,4.0,0.05,277.3,69.4,7.1,44.55
