# PLGA Optimization Results
# Drug: ropinirole
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 09:00:41
# Total formulations evaluated: 448
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
150000,1.0,0.05,187.9,36.1,5.5,62.43
100000,1.0,0.05,187.9,36.1,5.5,62.43
30000,1.0,0.05,187.9,36.1,5.5,62.43
75000,1.0,0.05,187.9,36.1,5.5,62.43
20000,1.0,0.05,187.9,36.1,5.5,62.43
10000,1.5,0.05,189.1,34.4,5.5,62.18
20000,1.5,0.05,189.1,34.4,5.5,62.18
150000,1.5,0.05,189.1,34.4,5.5,62.18
100000,1.5,0.05,189.1,34.4,5.5,62.18
30000,1.5,0.05,189.1,34.4,5.5,62.18
50000,1.5,0.05,189.1,34.4,5.5,62.18
75000,1.5,0.05,189.1,34.4,5.5,62.18
100000,4.0,0.05,195.3,31.2,4.8,60.95
20000,4.0,0.05,195.3,31.2,4.8,60.95
150000,4.0,0.05,195.3,31.2,4.8,60.95
10000,4.0,0.05,195.3,31.2,4.8,60.95
30000,4.0,0.05,195.3,31.2,4.8,60.95
50000,4.0,0.05,195.3,31.2,4.8,60.95
75000,4.0,0.05,195.3,31.2,4.8,60.95
